tweet_original,puntaje_positivo,puntaje_negativo,categoria_original,resultado_de_inferencia,tiempo_de_ejecucion (ms)
rt goodby silverstein s new site i enjoy it nice find,0.5,0.0,positivo,positivo,0.061500119
the ever amazing psyop and goodby silverstein amp partners for hp have to go play with after effects now,0.3,0.0,positivo,neutral,0.2127999905
top ten most watched on viral video chart love the nike mostvaluablepuppets campaign from wieden amp kennedy,0.3,0.0,positivo,neutral,0.132500194
zomg i have a g,0.0,0.0,neutral,neutral,0.0946000218
ok so lots of buzz from io but how lucky are they a free g,0.5,0.0,positivo,positivo,0.0618000049
just got a free g android at google i o,0.4,0.0,positivo,neutral,0.0690999441
guess i ll be retiring my g and start using my developer g woot googleio,0.2,0.0,positivo,neutral,0.0673001632
i am happy for philip being at googleio today,0.3,0.0,positivo,neutral,0.1348000951
lakers played great cannot wait for thursday night lakers vs,0.4,0.0,positivo,neutral,0.2711999696
judd apatow creates fake sitcom on nbc com to market his new movie viral marketing at its best,0.3,0.1,positivo,neutral,0.0696000643
viral marketing fail this acia pills brand oughta get shut down for hacking into people s messenger s i get msgs in a day arrrgh,0.0,0.1,negativo,neutral,0.071000075
watching night at the museum lmao,0.4,0.0,positivo,neutral,0.0692999456
i loved night at the museum,0.5,0.0,positivo,positivo,0.0599001069
just got back from the movies went to see the new night at the museum with rachel it was good,0.1,0.0,positivo,neutral,0.0713998452
i will take you on a date to see night at the museum whenever you want it looks soooooo good,0.2,0.0,positivo,neutral,0.0692000613
no watching the night at the museum getting really good,0.2,0.2,positivo,neutral,0.1815999858
night at the museum wolverine and junk food perfect monday,0.3,0.0,positivo,neutral,0.0711998437
saw night at the museum last night pretty crazy movie but the cast was awesome so it was well worth it robin williams forever,0.4,0.1,positivo,neutral,0.0684000552
night at the museum tonite instead of up oh well that yr old better enjoy it lol,0.5,0.0,positivo,positivo,0.0603999943
it s unfortunate that after the stimulus plan was put in place twice to help gm on the back of the american people has led to the inevitable,0.1,0.1,negativo,neutral,0.0702999532
tell me again why we are giving more to gm we should use that for all the programs that support the unemployed,0.2,0.0,positivo,neutral,0.0677001663
oh yes but if gm dies it will only be worth more boo hahaha,0.5,0.0,positivo,positivo,0.0603999943
time warner cable is down again rd time since memorial day bummer,0.0,0.2,negativo,neutral,0.0660999212
i would rather pay reasonable yearly taxes for free fast internet than get gouged by time warner for a slow connection,0.2,0.1,positivo,neutral,0.0656000338
nooooooo my dvr just died and i was only half way through the ea presser hate you time warner,0.0,0.3,negativo,neutral,0.0654000323
f ck time warner cable you f cking suck balls i have a hd tv amp my damn hd channels hardly ever come in bullshit,0.0,0.3,negativo,neutral,0.0650000293
time warner has the worse customer service ever i will never use them again,0.0,0.2,negativo,neutral,0.0801000278
time warner is the devil worst possible time for the internet to go out,0.0,0.4,negativo,negativo,0.0694999471
fuck no internet damn time warner,0.0,0.7,negativo,negativo,0.0616998877
time warner really picks the worst time to not work all i want to do is get to mtv com so i can watch the hills wtfffff,0.0,0.2,negativo,neutral,0.0670999289
i hate time warner soooo wish i had vios cant watch the fricken mets game w o buffering i feel like im watching free internet porn,0.3,0.1,positivo,neutral,0.0643001404
ahh got rid of stupid time warner today amp now taking a nap while the roomies cook for me pretty good end for a monday,0.2,0.1,positivo,neutral,0.0658999197
time warner s hd line up is crap,0.0,0.3,negativo,neutral,0.0648000278
is being fucked by time warner cable didnt know modems could explode and susan boyle sucks too,0.0,0.3,negativo,neutral,0.0646999106
time warner cable slogan where calling it a day at pm happens,0.0,0.0,neutral,neutral,0.1330000814
recovering from surgery wishing was here,0.3,0.0,positivo,neutral,0.0690000597
my wrist still hurts i have to get it looked at i hate the dr dentist scary places time to watch eagle eye if you want to join txt,0.1,0.3,negativo,neutral,0.0649997965
the dentist lied u won t feel any discomort prob won t even need pain pills man u twippin this shit hurt how many pills can i take,0.2,0.4,negativo,neutral,0.0643997919
my dentist is great but she s expensive,0.3,0.0,positivo,neutral,0.0654999167
is studing math tomorrow exam and dentist,0.0,0.0,neutral,neutral,0.0726999715
my dentist was wrong wrong,0.0,0.7,negativo,negativo,0.0607999973
going to the dentist later,0.0,0.0,neutral,neutral,0.0730999745
son has me looking at cars online i hate car shopping would rather go to the dentist anyone with a good car at a good price to sell,0.2,0.1,positivo,neutral,0.0651001465
luke and i got stopped walking out of safeway and asked to empty our pockets and lift our shirts how jacked up is that,0.0,0.1,negativo,neutral,0.0692999456
safeway is very rock n roll tonight,0.0,0.0,neutral,neutral,0.0726000872
the safeway bathroom still smells like ass,0.2,0.3,negativo,neutral,0.0624998938
at safeway on elkhorn they move like they re dead,0.2,0.3,negativo,neutral,0.0630998984
i love dwight howard s vitamin water commercial now i wish he was with nike and not adidas lol,0.4,0.1,positivo,neutral,0.0713998452
found nothing at nike factory off to banana republic outlet,0.0,0.0,neutral,neutral,0.0728000887
is lovin his nike already and that s only from running on the spot in his bedroom,0.0,0.0,neutral,neutral,0.0722999685
i finally got around to using jquery to make my bio collapse yay for slide animations,0.2,0.2,positivo,neutral,0.0633001328
right lol we ll get there i have high expectations warren buffet style,0.2,0.0,positivo,neutral,0.0658999197
rt rt great someone s sitting in the shade today because someone planted a tree a long time ago warren buffet,0.2,0.0,positivo,neutral,0.0660000369
warren buffet became for a time the richest man in the united states not by working but investing in big idea which lead to the fortune,0.2,0.0,positivo,neutral,0.0871999655
according to the create a school notre dame will have receivers in ncaa at or higher rating sweet,0.3,0.0,positivo,neutral,0.0676000491
it s definitely under warranty amp my experience is the amazon support for kindle is great had to contact them about my kindle,0.4,0.0,positivo,neutral,0.068699941
time warner road runner customer support here absolutely blows i hate not having other high speed net options i m ready to go nuclear,0.2,0.1,positivo,neutral,0.0652000308
time warner cable phone reps r dumber than nails ugh cable was working mins ago now its not wtf,0.1,0.2,negativo,neutral,0.065300148
we tried but time warner wasn t being nice so we recorded today,0.3,0.0,positivo,neutral,0.0651001465
omg time warner f ed up my internet install instead of today its now next saturday another week w o internet amp ehfa v fhg fml,0.0,0.0,neutral,neutral,0.0729998574
wth i have never seen a line this loooong at time warner before ugh,0.0,0.4,negativo,negativo,0.0666999258
impatiently awaiting the arrival of the time warner guy it s way too pretty to be inside all afternoon,0.1,0.1,positivo,neutral,0.0691998284
naive bayes using em for text classification really frustrating,0.0,0.4,negativo,negativo,0.2329999115
we went to stanford university today got a tour made me want to go back to college it s also decided all of our kids will go there,0.0,0.0,positivo,neutral,0.0969001558
if you re being harassed by calls about your car warranty changing your number won t fix that they call every number d bags,0.2,0.1,positivo,neutral,0.1099000219
just blocked united blood services using google voice they call more than those car warranty guys,0.1,0.1,positivo,neutral,0.1055998728
at amp t is complete fail,0.0,0.5,negativo,negativo,0.0840998255
oh snap you work at at amp t don t you,0.0,0.0,neutral,neutral,0.0944999047
i really dont want at amp t phone service they suck when it comes to having a signal,0.0,0.3,negativo,neutral,0.097699929
i say we just cut out the small talk at amp t s new slogan f__k you give us your money apologies to bob geldof,0.0,0.1,negativo,neutral,0.0901999883
pissed about at amp t s mid contract upgrade price for the iphone it s more i m not going to pay for something i thought was,0.1,0.2,negativo,neutral,0.0832001679
safari is fast even on my shitty at amp t tethering,0.0,0.3,negativo,neutral,0.0801000278
what is at amp t fucking up,0.0,0.0,neutral,neutral,0.0907999929
at amp t dropped the ball and isn t supporting crap with the new iphone fail att sucks,0.1,0.4,negativo,negativo,0.0809999183
yay glad you got the phone still damn you at amp t,0.4,0.2,positivo,neutral,0.0827000476
talk is cheap bing that i ll stick with google,0.0,0.0,neutral,neutral,0.090500107
wtf is the point of deleting tweets if they can still be found in summize and searches twitter please fix that thanks and bye,0.2,0.1,positivo,neutral,0.0948000234
i love google translator too d good day mate,0.6,0.0,positivo,positivo,0.0758999959
reading on my new kindle,0.0,0.0,neutral,neutral,0.0797000248
my kindle came and i love it,0.5,0.0,positivo,positivo,0.0612000003
loving my new kindle named her kendra in case u were wondering the cookbook is the tool cuz it tells u all the tricks best gift evr,0.3,0.0,positivo,neutral,0.0682000536
the real aig scandal,0.0,0.5,negativo,negativo,0.0782001298
obama is quite a good comedian check out his dinner speech on cnn very funny jokes,0.5,0.0,positivo,positivo,0.0616000034
barack obama shows his funny side gt gt great speech,0.7,0.0,positivo,positivo,0.0608998816
i like this guy barack obama shows his funny side gt gt,0.6,0.0,positivo,positivo,0.0605999958
obama s speech was pretty awesome last night,0.6,0.0,positivo,positivo,0.0607999973
reading bill clinton fail obama win,0.3,0.3,positivo,neutral,0.0660000369
obama more popular than u s among arabs survey president barack obama s popularity in leading arab countries,0.3,0.0,positivo,neutral,0.0676000491
obama s got jokes haha just got to watch a bit of his after dinner speech from last night i m in love with mr president,0.3,0.0,positivo,neutral,0.0666999258
lebron james got in a car accident i guess just heard it on evening news wow i cant believe it will he be ok,0.2,0.1,positivo,neutral,0.0674000476
is it me or is this the best the playoffs have been in years oh yea lebron and melo in the finals,0.2,0.0,positivo,neutral,0.0693001784
no lebron is the best,0.4,0.2,positivo,neutral,0.0678999349
lebron is cool i like his personality he has good character,0.5,0.0,positivo,positivo,0.0607999973
watching lebron highlights damn that niggas good,0.2,0.4,negativo,neutral,0.0656999182
lebron is murdering shit,0.0,0.8,negativo,negativo,0.062200008
lebron is a monsta and he is only smh the world ain t ready,0.2,0.2,positivo,neutral,0.065700151
when lebron is done in the nba he will probably be greater than kobe like u said kobe is good but there alot of good players,0.3,0.0,positivo,neutral,0.0664000399
kobe is good bt lebron has my vote,0.3,0.0,positivo,neutral,0.106099993
kobe is the best in the world not lebron,0.3,0.0,positivo,neutral,0.0682000536
world cup access damn that s a good look,0.3,0.3,positivo,neutral,0.0651001465
just bought my tickets for the fifa world cup in south africa its going to be a great summer,0.2,0.0,positivo,neutral,0.0675998162
i have to go to booz allen hamilton for a hr meeting but then i get to go home,0.0,0.0,neutral,neutral,0.0742000993
the great indian tamasha truly will unfold from may the result day for indian general election,0.3,0.0,positivo,neutral,0.068299938
i have the kindle i ve seen pictures of the dx but haven t seen it in person i love my kindle i m on it everyday,0.2,0.1,positivo,neutral,0.0688000582
such an awesome idea the continual learning program with a kindle,0.3,0.0,positivo,neutral,0.0658999197
ooooh what model are you getting i have the d and love love love love it,0.6,0.0,positivo,positivo,0.0597999897
the times of india the wonder that is india s election,0.0,0.0,neutral,neutral,0.0746999867
good video from google on using search options,0.3,0.0,positivo,neutral,0.0719998498
lol ah my skin is itchy damn lawnmowing,0.2,0.4,negativo,neutral,0.0650000293
itchy back dont ya hate it,0.3,0.2,positivo,neutral,0.0629001297
stanford charity fashion show a top draw,0.5,0.0,positivo,positivo,0.0587000977
stanford university s facebook profile is one of the most popular official university pages,0.2,0.0,positivo,neutral,0.0708999578
lyx is cool,0.5,0.0,positivo,positivo,0.0593001023
sooo dissapointed they sent danny gokey home you still rock danny my hometown hero yeah milrockee,0.3,0.0,positivo,neutral,0.0652000308
rt american idol fashion adam lambert tones down danny gokey cute,0.2,0.0,positivo,neutral,0.0658000354
i love you danny gokey,0.6,0.0,positivo,positivo,0.0591999851
so tired i didn t sleep well at all last night,0.2,0.3,negativo,neutral,0.0628000125
boarding plane for san francisco in hour hr flight blech,0.0,0.0,neutral,neutral,0.0874998514
bonjour san francisco my back hurts from last night,0.0,0.3,negativo,neutral,0.0662000384
with my best girl for a few more hours in san francisco mmmmmfamily is wonderful,0.4,0.0,positivo,neutral,0.0680000521
f up big or go home aig,0.0,0.0,neutral,neutral,0.0734999776
went to see the star trek movie last night very satisfying,0.2,0.0,positivo,neutral,0.0666000415
i can t wait going to see star trek tonight,0.0,0.0,neutral,neutral,0.0727998558
star trek was as good as everyone said,0.3,0.0,positivo,neutral,0.0654999167
am loving new malcolm gladwell book outliers,0.4,0.0,positivo,neutral,0.0678999349
i highly recommend malcolm gladwell s the tipping point my next audiobook will probably be one of his as well,0.2,0.0,positivo,neutral,0.0670999289
malcolm gladwell is a genius at tricking people into not realizing he s a fucking idiot,0.1,0.2,negativo,neutral,0.0652999151
hey no offense but malcolm gladwell is a pretenious annoying cunt and he brings you down cant read his shit,0.1,0.4,negativo,negativo,0.0741998665
rt great article by malcolm gladwell,0.5,0.0,positivo,positivo,0.0619001221
i seriously underestimated malcolm gladwell i want to meet this dude,0.1,0.3,negativo,neutral,0.0646000262
i hate comcast right now everything is down cable internet amp phone ughh what am i to do,0.0,0.2,negativo,neutral,0.0654000323
comcast sucks,0.0,0.7,negativo,negativo,0.0608998816
the day i never have to deal with comcast again will rank as one of the best days of my life,0.2,0.0,positivo,neutral,0.0666999258
did comcast fail again,0.0,0.5,negativo,negativo,0.0616000034
curses the twitter api limit,0.0,0.0,neutral,neutral,0.07249997
now i can see why dave winer screams about lack of twitter api its limitations and access throttles,0.0,0.2,negativo,neutral,0.0648999121
arg twitter api is making me crazy,0.0,0.3,negativo,neutral,0.0640000217
i m really loving the new search site wolfram alpha makes google seem so quaint,0.3,0.0,positivo,neutral,0.0656999182
wolfram alpha sucks even for researchers the information provided is less than you can get from google or wikipedia totally useless,0.0,0.2,negativo,neutral,0.0795999076
off to the nike factory,0.0,0.0,neutral,neutral,0.0737998635
new nike muppet commercials are pretty cute why do we live together again,0.4,0.0,positivo,neutral,0.0684999395
oh those are awesome i so wish they weren t owned by nike,0.5,0.0,positivo,positivo,0.0587999821
awesome seeing the show friday at the shoreline amphitheatre never seen nin before can t wait,0.2,0.0,positivo,neutral,0.0662000384
arhh it s weka bug and i spent almost two hours to find that out crappy me,0.0,0.2,negativo,neutral,0.0652000308
hey bud np i do so love my d although i d love a d mkii more,0.6,0.0,positivo,positivo,0.0588998664
just got us a d for the office d,0.0,0.0,neutral,neutral,0.07249997
just picked up my new canon d it s beautiful prepare for some seriously awesome photography,0.4,0.1,positivo,neutral,0.0666000415
just got my new toy canon d love love love it,0.6,0.0,positivo,positivo,0.0593999866
learning about lambda calculus,0.0,0.0,neutral,neutral,0.0849000644
i m moving to east palo alto,0.0,0.0,neutral,neutral,0.0754999928
atebits i just finished watching your stanford iphone class session i really appreciate it you rock,0.2,0.0,positivo,neutral,0.0672999304
hi just saw your stanford talk and really liked your advice just saying hi from singapore yes the videos do get around,0.2,0.0,positivo,neutral,0.0676999334
lakers tonight let s go,0.0,0.0,neutral,neutral,0.0729998574
will the lakers kick the nuggets ass tonight,0.0,0.3,negativo,neutral,0.0656000338
oooooooh north korea is in troubleeeee,0.0,0.0,neutral,neutral,0.0736000948
wat the heck is north korea doing they just conducted powerful nuclear tests follow the link,0.2,0.0,positivo,neutral,0.0666000415
listening to obama friggin north korea,0.0,0.0,neutral,neutral,0.07249997
i just realized we three monkeys in the white obama biden pelosi sarah palin,0.0,0.0,neutral,neutral,0.0738000963
pelosi should stay in china and never come back,0.0,0.0,neutral,neutral,0.0835999381
nancy pelosi gave the worst commencement speech i ve ever heard yes i m still bitter about this,0.1,0.3,negativo,neutral,0.0655001495
ugh the amount of times these stupid insects have bitten me grr,0.0,0.4,negativo,negativo,0.0664999243
prettiest insects ever pink katydids,0.5,0.0,positivo,positivo,0.0587000977
just got barraged by a horde of insects hungry for my kitchen light so scary,0.0,0.2,negativo,neutral,0.0652000308
just had mcdonalds for dinner d it was goooood big mac meal,0.0,0.0,neutral,neutral,0.0722000841
ahh yes lol ima tell my hubby to go get me sum mcdonalds,0.3,0.0,positivo,neutral,0.0650999136
stopped to have lunch at mcdonalds chicken nuggetssss yummmmmy,0.0,0.2,negativo,neutral,0.0655001495
could go for a lot of mcdonalds i mean a lot,0.0,0.0,neutral,neutral,0.0726999715
my exam went good your prayers worked,0.3,0.0,positivo,neutral,0.0652000308
only one exam left and i am so happy for it d,0.3,0.0,positivo,neutral,0.0735998619
math review im going to fail the exam,0.0,0.3,negativo,neutral,0.0660999212
colin powell rocked yesterday on cbs cheney needs to shut the hell up and go home powell is a man of honor and served our country proudly,0.2,0.1,positivo,neutral,0.0658000354
obviously not siding with cheney here,0.0,0.0,neutral,neutral,0.0726999715
absolutely hilarious from,0.6,0.0,positivo,positivo,0.0586998649
i never did thank you for including me in your top twitter authors you rock amp i new wave d,0.1,0.1,negativo,neutral,0.068699941
rt awesome jquery reference book for coda webdesign,0.4,0.0,positivo,neutral,0.0702999532
i ve been sending e mails like crazy today to my contacts does anyone have a contact at goodby silverstein i d love to speak to them,0.2,0.1,positivo,neutral,0.066800043
goodby silverstein s new site i enjoy it,0.4,0.0,positivo,neutral,0.068699941
wow everyone at the google i o conference got free g s with a month of unlimited service,0.4,0.0,positivo,neutral,0.068299938
dood i got a free google android phone at the i o conference the g,0.3,0.0,positivo,neutral,0.0658000354
the g is amazing btw a huge improvement over the g,0.6,0.0,positivo,positivo,0.0684000552
html demos lots of great stuff to come yes i m excited io googleio,0.5,0.0,positivo,positivo,0.060700113
yay happy place place place i love google,0.7,0.0,positivo,positivo,0.0595999882
googleio o d bringing d graphics to the browser very nice tbh funfun,0.3,0.0,positivo,neutral,0.0654000323
awesome viral marketing for funny people,0.6,0.0,positivo,positivo,0.0589999836
saw night at the museum out of sheer desperation who is funding these movies,0.0,0.2,negativo,neutral,0.0762999989
night at the museum pretty furkin good,0.6,0.0,positivo,positivo,0.0618000049
watching night at the museum giggling,0.3,0.0,positivo,neutral,0.0652000308
back from seeing star trek and night at the museum star trek was amazing but night at the museum was eh,0.1,0.0,positivo,neutral,0.0708999578
just watched night at the museum so stinkin cute,0.3,0.0,positivo,neutral,0.0650000293
so night at the museum was awesome much better than part next weekend we ll see up,0.3,0.0,positivo,neutral,0.0652000308
saw the new night at the museum and i loved it next is to go see up in d,0.2,0.0,positivo,neutral,0.0665001571
it is a shame about gm what if they are forced to make only cars the white house thinks will sell what do you think,0.0,0.2,negativo,neutral,0.0648999121
as u may have noticed not too happy about the gm situation nor aig lehman et al,0.0,0.2,negativo,neutral,0.0654000323
gm good riddance sad though,0.3,0.3,negativo,neutral,0.0641001388
i will never buy a government motors vehicle until just recently i drove gm cars since when i bought a,0.0,0.0,neutral,neutral,0.0719998498
having the old coca cola guy on the gm board is stupid has heck tcot ala,0.0,0.2,negativo,neutral,0.0648000278
rantsandraves the worst thing about gm concord pleasant hill martinez is the fucking uaw,0.2,0.2,negativo,neutral,0.0636000186
give a man a fish u feed him for the day teach him to fish u feed him for life buy him gm and u f k him over for good,0.1,0.0,positivo,neutral,0.0700999517
the more i hear about this gm thing the more angry i get billions wasted more bullshit all for something like k employees and all the,0.1,0.3,negativo,neutral,0.0640000217
i own a gm car and it is junk as far as quality compared to a honda,0.0,0.0,neutral,neutral,0.07249997
sad day bankrupt gm,0.0,0.8,negativo,negativo,0.0851999503
is upset about the whole gm thing life as i know it is so screwed up,0.0,0.3,negativo,neutral,0.0659001525
whoever is running time warner needs to be repeatedly raped by a rhino so they understand the consequences of putting out shitty cable svcs,0.0,0.3,negativo,neutral,0.0644000247
wftb joining a bit late my connection was down boo time warner,0.0,0.0,neutral,neutral,0.0731998589
